tipo_de_estudo,classe_predominante
A determinar,Publicação de Requerimento de Licença pelo Empreendedor
A determinar,Publicação de Requerimento de Licença pelo Empreendedor
A determinar,Certidão Municipal (uso e ocupação do solo)
A determinar,Relatório de Controle Ambiental – RCA com ART
A determinar,Relatório de Controle Ambiental – RCA com ART
A determinar,Relatório de Controle Ambiental – RCA com ART
A determinar,Relatório de Controle Ambiental – RCA com ART
A determinar,Relatório de Controle Ambiental – RCA com ART
A determinar,Plano de Controle Ambiental – PCA com ART
A determinar,Plano de Controle Ambiental – PCA com ART
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Relatório de Cumprimento de Condicionantes e/ou Relatório de Automonitoramento
A determinar,Protocolo do estudo de Passivo Ambiental conforme normas da ABNT NBR 15.515-1:2007 - Avaliação Preliminar e NBR 15.515-2:2011 – Investigação Confirmatória junto à Gerência de Áreas Contaminadas da Feam
A determinar,Documentos de Resolução de Pendência
A determinar,Documentos de Resolução de Pendência
A determinar,Certificado de Regularidade junto ao Cadastro Técnico Federal de Atividades e Instrumentos de Defesa Ambiental (CTF/AIDA)
A determinar,Certificado de Regularidade junto ao Cadastro Técnico Federal de Atividades e Instrumentos de Defesa Ambiental (CTF/AIDA)
A determinar,Parecer Único
A determinar,"Comprovante de propriedade, posse ou outra situação que legitime o uso do espaço territorial para o desenvolvimento da atividade"
A determinar,"Comprovante de propriedade, posse ou outra situação que legitime o uso do espaço territorial para o desenvolvimento da atividade"
A determinar,"Comprovante de propriedade, posse ou outra situação que legitime o uso do espaço territorial para o desenvolvimento da atividade"
A determinar,"Comprovante de propriedade, posse ou outra situação que legitime o uso do espaço territorial para o desenvolvimento da atividade"
A determinar,"Comprovante de propriedade, posse ou outra situação que legitime o uso do espaço territorial para o desenvolvimento da atividade"
A determinar,Publicação de decisão final do processo administrativo
A determinar,Manifestação do Empreendedor
A determinar,Manifestação do Empreendedor
A determinar,Decisão Secretário - Projeto Público - Suppri
A determinar,Publicação de Requerimento de Licença pelo Órgão Ambiental
A determinar,Comunicação ao empreendedor
A determinar,Comunicação ao empreendedor
A determinar,Certificado
